"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"TC01003741.hg.1",4.04956384959937,4.29345712440907,4.29164017284065,4.42406369480831,4.30482676872599,4.94181643737388,4.14775327097794,4.03364928587331,4.59023835978235,4.17252730153551,4.53778744497129,3.6497332482765
"TC01002029.hg.1",3.77057499829971,3.45483945592552,3.70783539702992,3.77716755369395,3.89956822512853,3.82461151974774,3.60645072112998,3.59354137938236,3.67864040210149,3.3871040225889,3.38098429737401,3.71786927818581
"TC02004143.hg.1",6.76731024072518,6.90459025962087,6.87006086853593,6.97668447504682,6.95172924988873,6.60559131384402,6.66425201230251,6.88846455519045,6.51608633429894,6.6891388643905,6.48511667448534,6.70166672218729
"TC02004962.hg.1",5.49402759386993,5.62838871528414,5.49571056085874,5.60251036098176,5.61925865959467,5.50331142629801,5.31560023213054,5.48801043194862,5.25644851708318,5.437497839138,5.28027428103167,5.58551049471824
"TC02000497.hg.1",3.38541211696722,3.57085440454818,3.27024174126596,3.43688072482099,3.65027694222315,3.54122129186957,3.31240103736685,3.6616300366309,3.49206473159865,3.55759475158597,3.70763136385921,3.67454481430965
"TC02002299.hg.1",7.44618197893538,7.54111754946058,7.40861602385828,7.48577861867956,7.55448409359091,7.19960935621329,7.48227855638731,7.30573514957469,7.20427844922903,7.16806262761084,7.31899346705914,7.48263226087009
"TC02001012.hg.1",6.9164749676524,6.87216658728129,6.77896502129192,6.91366548712845,6.94326810502958,6.5414397331231,6.67746480274392,6.68088061770788,6.57370157940017,6.38348736544208,6.53370878757024,6.63508905812756
"TC03003144.hg.1",4.93735172512443,5.29467640575419,4.83741851533665,5.01409872228981,5.24976567635503,4.88538757618651,5.00960114378911,5.24837845924414,4.90124286286034,4.92812088149894,4.77084633205873,5.21220469399251
"TC04000084.hg.1",7.18735655856128,7.1497526248295,6.9115845271365,7.00358566981159,7.0983322910269,6.77209467684832,6.80270472035336,6.85443165012039,6.83645049154241,6.80349584019391,6.75707850756583,7.1101375352506
"TC05001812.hg.1",7.08137390659518,6.89791588036379,6.96052635089589,7.14587437311932,7.17851691883823,6.69809154001625,6.95639796483202,7.14919389752049,6.77470308113787,6.72206805101543,6.68305358977932,6.96567083913913
"TC06000520.hg.1",7.21235145609539,7.36324878769438,7.094846515708,7.24626111284383,7.25503028558969,7.03948511129851,7.09746869344224,7.19831844429795,6.89140281925106,6.91321459700542,6.88059891788065,7.10424128829747
"TC06003119.hg.1",3.18948267530841,2.90422250838451,3.2070693528165,2.9593711232307,2.6728757731359,2.82546850517093,3.45364368641456,3.38430193722382,3.81517369993858,3.28226394989062,3.06171092080924,3.37972206245411
